H,0.17,0.21,0.25,0.29,0.33,0.38,0.42,0.46,0.5,0.58,0.67,0.75,0.83,0.92,1,1.08,1.17,1.25,1.33
0.08,0.49,0.59,0.7,0.79,0.89,0.97,1.05,1.14,1.22,1.37,1.53,1.68,1.83,1.96,2.1,2.24,2.35,2.43,2.47
0.1,0.55,0.66,0.77,0.88,0.98,1.08,1.16,1.27,1.36,1.52,1.7,1.87,2.04,2.19,2.34,2.5,2.63,2.72,2.78
0.13,0.59,0.72,0.84,0.96,1.07,1.18,1.27,1.39,1.48,1.66,1.86,2.04,2.22,2.39,2.56,2.74,2.89,2.98,3.05
0.15,0.63,0.77,0.9,1.03,1.15,1.27,1.37,1.49,1.59,1.79,1.99,2.2,2.4,2.57,2.76,2.96,3.12,3.23,3.31
0.17,0.67,0.82,0.96,1.1,1.23,1.35,1.46,1.59,1.69,1.91,2.12,2.34,2.56,2.74,2.94,3.16,3.31,3.46,3.54
0.19,0.71,0.86,1.02,1.16,1.3,1.43,1.54,1.68,1.79,2.02,2.25,2.48,2.71,2.91,3.11,3.33,3.5,3.66,3.75
0.21,0.75,0.9,1.07,1.21,1.36,1.5,1.62,1.76,1.89,2.13,2.37,2.61,2.85,3.08,3.28,3.5,3.68,3.85,3.95
0.23,0.78,0.94,1.12,1.26,1.42,1.57,1.69,1.84,1.98,2.23,2.49,2.74,2.99,3.23,3.44,3.67,3.86,4.03,4.14
0.25,0.81,0.98,1.16,1.31,1.48,1.64,1.76,1.92,2.06,2.33,2.6,2.86,3.12,3.37,3.59,3.83,4.04,4.2,4.33
0.27,0.84,1.02,1.2,1.36,1.54,1.7,1.84,2,2.14,2.43,2.71,2.98,3.26,3.51,3.74,3.99,4.2,4.37,4.51
0.29,0.87,1.06,1.24,1.41,1.59,1.75,1.91,2.08,2.22,2.52,2.81,3.09,3.37,3.64,3.88,4.14,4.36,4.58,4.69
0.31,0.9,1.09,1.28,1.46,1.64,1.81,1.98,2.15,2.3,2.61,2.91,3.2,3.49,3.77,4.02,4.28,4.52,4.69,4.86
0.33,0.93,1.12,1.32,1.51,1.69,1.87,2.05,2.22,2.38,2.69,3,3.31,3.61,3.89,4.15,4.42,4.67,4.85,5.02
0.35,0.96,1.15,1.36,1.56,1.74,1.93,2.11,2.29,2.45,2.77,3.09,3.41,3.72,4.01,4.28,4.56,4.81,5,5.18
0.38,0.99,1.18,1.4,1.61,1.79,1.99,2.17,2.36,2.52,2.85,3.18,3.51,3.83,4.13,4.4,4.69,4.95,5.15,5.32
0.4,1.02,1.21,1.44,1.65,1.84,2.04,2.23,2.42,2.59,2.93,3.27,3.61,3.94,4.24,4.52,4.82,5.09,5.29,5.46
0.42,1.04,1.24,1.48,1.69,1.89,2.09,2.29,2.48,2.66,3.01,3.36,3.7,4.04,4.35,4.64,4.95,5.22,5.43,5.59
0.46,1.08,1.3,1.55,1.76,1.98,2.19,2.4,2.6,2.79,3.16,3.52,3.88,4.24,4.56,4.87,5.19,5.47,5.69,5.85
0.5,1.12,1.36,1.61,1.83,2.07,2.28,2.5,2.71,2.91,3.3,3.68,4.05,4.42,4.76,5.08,5.42,5.71,5.94,6.1
0.54,1.16,1.41,1.67,1.9,2.15,2.37,2.6,2.82,3.03,3.43,3.83,4.21,4.6,4.96,5.29,5.64,5.95,6.18,6.35
0.58,1.2,1.46,1.73,1.97,2.23,2.46,2.7,2.93,3.14,3.56,3.97,4.37,4.77,5.15,5.49,5.85,6.18,6.41,6.59
0.63,1.24,1.51,1.79,2.04,2.31,2.55,2.8,3.04,3.25,3.69,4.11,4.53,4.94,5.33,5.68,6.06,6.39,6.64,6.82
0.67,1.28,1.56,1.85,2.11,2.39,2.63,2.89,3.14,3.36,3.81,4.25,4.68,5.11,5.5,5.87,6.26,6.6,6.86,7.05
0.71,1.31,1.6,1.9,2.18,2.46,2.71,2.98,3.24,3.46,3.93,4.38,4.82,5.26,5.67,6.05,6.45,6.81,7.07,7.27
0.75,1.34,1.64,1.95,2.24,2.53,2.79,3.07,3.33,3.56,4.04,4.51,4.96,5.41,5.83,6.23,6.64,7.01,7.27,7.48
0.79,1.37,1.68,2,2.3,2.6,2.87,3.15,3.42,3.66,4.15,4.63,5.1,5.56,5.99,6.4,6.83,7.2,7.47,7.68
0.83,1.4,1.72,2.05,2.36,2.67,2.95,3.23,3.51,3.75,4.26,4.75,5.23,5.71,6.15,6.56,7,7.39,7.67,7.88
0.92,1.46,1.8,2.15,2.48,2.8,3.09,3.39,3.68,3.93,4.46,4.98,5.48,5.98,6.45,6.88,7.34,7.74,8.04,8.26
1,1.52,1.88,2.25,2.59,2.92,3.23,3.54,3.84,4.11,4.66,5.2,5.73,6.25,6.74,7.19,7.66,8.09,8.4,8.63
1.08,1.58,1.96,2.34,2.69,3.04,3.36,3.68,4,4.28,4.85,5.41,5.96,6.5,7.01,7.48,7.98,8.41,8.74,8.98
1.17,1.64,2.04,2.43,2.79,3.15,3.49,3.82,4.15,4.44,5.03,5.61,6.19,6.75,7.28,7.76,8.27,8.73,9.07,9.32
1.25,1.7,2.11,2.51,2.89,3.26,3.61,3.96,4.29,4.6,5.21,5.81,6.4,6.99,7.54,8.04,8.56,9.04,9.39,9.65
1.33,1.76,2.18,2.59,2.99,3.37,3.73,4.09,4.48,4.75,5.38,6,6.61,7.22,7.79,8.3,8.85,9.34,9.7,9.96
1.42,1.81,2.25,2.67,3.08,3.48,3.84,4.22,4.57,4.9,5.55,6.19,6.82,7.44,8.03,8.56,9.13,9.63,10,10.27
1.5,1.86,2.31,2.75,3.16,3.58,3.95,4.34,4.7,5.04,5.71,6.37,7.01,7.65,8.25,8.8,9.39,9.9,10.28,10.56
